build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"banker.banco-press|bet.high-roller|core.clean-hands|heat.low-profile|heat.soft-footsteps",1,0.02%,100%,10,1991125,1,"banco-press + high-roller + clean-hands + low-profile"
"core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|tie.equalizer|tie.tie-whisperer",1,0.02%,100%,10,477375,1,"lucky-chip + interest-ledger + soft-footsteps + equalizer"
"banker.commission-dodge|boss.boss-bounty|core.lucky-chip|heat.soft-footsteps|tie.equalizer",1,0.02%,100%,10,92450,1,"commission-dodge + boss-bounty + lucky-chip + soft-footsteps"
"banker.banker-anchor|control.soft-cut|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps",1,0.02%,100%,10,444250,1,"banker-anchor + soft-cut + lucky-chip + interest-ledger"
"core.lucky-chip|economy.comp-points|heat.soft-footsteps|tie.equalizer|tie.mirror-bet",1,0.02%,100%,10,1308375,1,"lucky-chip + comp-points + soft-footsteps + equalizer"
"banker.banker-anchor|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|player.punto-insurance",1,0.02%,100%,10,740000,1,"banker-anchor + lucky-chip + interest-ledger + soft-footsteps"
"core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.low-profile|player.side-step",1,0.02%,100%,10,1016375,1,"lucky-chip + comp-points + interest-ledger + low-profile"
"banker.commission-dodge|core.lucky-chip|debt.last-dollar|heat.soft-footsteps|tie.equalizer",1,0.02%,100%,10,743050,1,"commission-dodge + lucky-chip + last-dollar + soft-footsteps"
"banker.banco-press|banker.banker-anchor|core.lucky-chip|economy.comp-points|heat.soft-footsteps",1,0.02%,100%,10,1797500,1,"banco-press + banker-anchor + lucky-chip + comp-points"
"banker.commission-dodge|boss.boss-bounty|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps",1,0.02%,100%,10,884975,1,"commission-dodge + boss-bounty + lucky-chip + interest-ledger"
"banker.banker-anchor|core.lucky-chip|heat.soft-footsteps|player.punto-insurance|vision.soft-peek",1,0.02%,100%,10,567625,1,"banker-anchor + lucky-chip + soft-footsteps + punto-insurance"
"core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|player.side-step|vision.third-card-forecast",1,0.02%,100%,10,7926000,1,"lucky-chip + interest-ledger + soft-footsteps + side-step"
"banker.commission-dodge|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|player.player-tempo",1,0.02%,100%,10,621425,1,"commission-dodge + lucky-chip + interest-ledger + soft-footsteps"
"banker.banco-press|core.lucky-chip|economy.comp-points|economy.interest-ledger|tie.mirror-bet",1,0.02%,100%,10,2603625,1,"banco-press + lucky-chip + comp-points + interest-ledger"
"core.lucky-chip|debt.last-dollar|economy.interest-ledger|heat.soft-footsteps|tie.tie-whisperer",1,0.02%,100%,10,211000,1,"lucky-chip + last-dollar + interest-ledger + soft-footsteps"
"banker.commission-dodge|core.lucky-chip|economy.comp-points|economy.interest-ledger|vision.third-card-forecast",1,0.02%,100%,10,8839825,1,"commission-dodge + lucky-chip + comp-points + interest-ledger"
"core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|player.punto-insurance|player.reversal-read",1,0.02%,100%,10,421350,1,"lucky-chip + interest-ledger + soft-footsteps + punto-insurance"
"core.lucky-chip|heat.soft-footsteps|player.punto-insurance|player.side-step|vision.soft-peek",1,0.02%,100%,10,853650,1,"lucky-chip + soft-footsteps + punto-insurance + side-step"
"core.lucky-chip|economy.comp-points|heat.soft-footsteps|tie.equalizer|vision.soft-peek",1,0.02%,100%,10,1038500,1,"lucky-chip + comp-points + soft-footsteps + equalizer"
"banker.banco-press|core.lucky-chip|heat.soft-footsteps|player.punto-insurance|player.reversal-read",1,0.02%,100%,10,702250,1,"banco-press + lucky-chip + soft-footsteps + punto-insurance"
